SimRun;Self Consumption;Traded Consumption;Self Sufficiency;Load Factor;Mean Price;Deviation;Annual Peak Demand;Total Energy Offered;Total Energy Traded;Total Energy to Grid
3;0.36220345499076045;0.07845712838526979;0.22840164487020762;0.36139424379465757;25.546721570207588;4.283940690555002;16.632345267857804;119272.18021349482;24322.384740425052;94949.79547306939
2;0.36245544912744093;0.060127187718492854;0.22928274166898163;0.3231371053667889;25.501406066178138;4.593966600802456;18.991028672016196;119495.83145704145;18581.23357489394;100914.5978821475
1;0.3620971707553705;0.07266972304906526;0.2292824339758583;0.34968438386285783;25.140339751507184;4.672614182682151;17.248719855021214;119390.13030662983;22435.11176001579;96955.01854661359
0;0.3623914974964507;0.07648652231789996;0.2289416702720788;0.32943508142124656;25.24377457029226;4.611927122457688;18.24595753347518;119189.72201833656;23667.83057491736;95521.89144341968
4;0.36308034334743394;0.06873102295671328;0.22930710122047437;0.32013380530529956;25.461912823901088;4.435436352905049;18.64914636937933;119160.38810449882;21274.4541094413;97885.93399505725
5;0.36263066259228544;0.05377631208461165;0.22928212631714046;0.3171244780404837;24.53100806336376;3.938763398980127;19.559959945367236;119101.81502353663;16626.687051311405;102475.12797222474
6;0.36229624050257786;0.06846098354713;0.22863418921173992;0.3302400139309272;25.807073373705123;4.673468166818591;18.456177820348767;119325.19673225745;21207.338668316574;98117.85806394009
7;0.3620764860172563;0.06627964488128776;0.22838360702611515;0.3649079376516273;26.447987029767116;4.413235260933742;16.780083182869603;119493.36327411974;20541.679598717164;98951.68367540221
9;0.3632180250840046;0.07955014896819435;0.22971772156623205;0.33254428941442876;25.580946368623653;4.307381590717619;17.959318301113615;119106.98842593416;24588.62672148081;94518.3617044532
8;0.36220198000284304;0.06334322918339565;0.22840655015359967;0.3750351217610103;25.832520301877906;4.430889875392589;16.38714849213392;119296.3991551518;19636.444277673043;99659.95487747868
